frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
71,10.390,864.0,626.7,4.1,1.5,-0.466,4.065,0.221,0.064,-0.229,370.0,785.2,734.1,554.6,-0.3,0.3,4.07,0.09,0.81
72,10.402,864.0,626.7,0.0,0.0,-0.424,3.917,0.133,0.042,-0.148,370.0,785.2,734.1,554.6,0.0,0.0,3.92,0.09,0.81
73,10.412,864.0,626.7,0.0,0.0,-0.397,3.820,0.074,0.027,-0.096,370.0,785.2,734.1,554.6,0.0,0.0,3.82,0.09,0.81
74,10.731,989.0,648.8,125.1,22.1,-0.264,3.466,-0.023,0.133,-0.354,368.2,787.2,724.3,557.7,-1.9,2.0,3.47,0.11,0.84
75,10.736,989.0,648.8,0.0,0.0,-0.183,3.231,-0.108,0.081,-0.235,368.2,787.2,724.3,557.7,0.0,0.0,3.23,0.12,0.84
76,10.743,989.0,648.8,0.0,0.0,-0.138,3.103,-0.156,0.045,-0.128,368.2,787.2,724.3,557.7,0.0,0.0,3.10,0.13,0.84
77,10.754,989.0,648.8,0.0,0.0,-0.108,3.012,-0.168,0.030,-0.092,368.2,787.2,724.3,557.7,0.0,0.0,3.01,0.13,0.84
78,10.766,992.3,644.7,3.3,-4.1,-0.096,2.939,-0.172,0.012,-0.073,368.7,788.1,726.2,560.2,0.6,0.8,2.94,0.14,0.84
79,10.776,992.3,644.7,0.0,0.0,-0.097,2.887,-0.179,-0.001,-0.052,368.7,788.1,726.2,560.2,0.0,0.0,2.89,0.14,0.84
80,11.230,1010.1,644.5,17.8,-0.2,-0.045,2.849,-0.209,0.052,-0.037,367.5,785.3,728.2,558.2,-1.2,-2.8,2.85,0.14,0.84
81,11.232,1015.4,641.9,5.3,-2.6,-0.012,2.815,-0.217,0.033,-0.034,368.3,784.9,728.4,554.3,0.8,-0.4,2.82,0.13,0.81
82,11.580,1121.0,631.1,105.6,-10.8,0.001,2.773,-0.225,0.013,-0.042,368.4,785.2,728.6,555.8,0.1,0.3,2.77,0.12,0.84
83,11.585,1121.0,631.1,0.0,0.0,0.018,2.740,-0.228,0.016,-0.033,368.4,785.2,728.6,555.8,0.0,0.0,2.74,0.12,0.84
84,11.592,1121.0,631.1,0.0,0.0,0.030,2.718,-0.233,0.012,-0.022,368.4,785.2,728.6,555.8,0.0,0.0,2.72,0.11,0.84
85,11.602,1121.0,631.1,0.0,0.0,0.036,2.702,-0.241,0.006,-0.016,368.4,785.2,728.6,555.8,0.0,0.0,2.70,0.11,0.84
86,11.612,1133.4,628.9,12.4,-2.2,0.041,2.694,-0.254,0.005,-0.008,368.9,786.1,729.6,557.5,0.5,0.8,2.69,0.11,0.85
87,11.613,1133.4,628.9,0.0,0.0,0.045,2.692,-0.264,0.004,-0.003,368.9,786.1,729.6,557.5,0.0,0.0,2.69,0.11,0.85
88,11.623,1133.4,628.9,0.0,0.0,0.048,2.690,-0.272,0.003,-0.002,368.9,786.1,729.6,557.5,0.0,0.0,2.69,0.11,0.85
89,12.081,1156.3,648.1,23.0,19.2,0.049,2.687,-0.284,0.001,-0.003,368.2,784.3,727.3,556.8,-0.8,-1.7,2.69,0.11,0.82
90,12.088,1156.3,648.1,0.0,0.0,0.049,2.685,-0.293,0.000,-0.002,368.2,784.3,727.3,556.8,0.0,0.0,2.69,0.11,0.82
91,12.107,1168.2,639.1,11.9,-9.0,0.049,2.684,-0.300,0.000,-0.002,368.2,784.6,730.5,557.0,0.1,0.3,2.68,0.11,0.84
92,12.109,1168.2,639.1,0.0,0.0,0.049,2.682,-0.307,-0.000,-0.001,368.2,784.6,730.5,557.0,0.0,0.0,2.68,0.11,0.84
93,12.121,1168.2,639.1,0.0,0.0,0.048,2.681,-0.313,-0.000,-0.001,368.2,784.6,730.5,557.0,0.0,0.0,2.68,0.11,0.84
94,12.581,1301.7,651.8,133.5,12.7,0.074,2.683,-0.431,0.025,0.003,1301.7,651.8,350.2,766.1,933.5,-132.8,2.68,0.10,0.89
95,12.587,1301.7,651.8,0.0,0.0,0.090,2.686,-0.510,0.017,0.002,1301.7,651.8,350.2,766.1,0.0,0.0,2.69,0.10,0.89
