frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
58,5.239,1143.8,589.5,0.1,39.5,1.534,2.508,-0.322,0.012,0.027,1325.1,639.5,294.6,738.5,0.0,0.0,2.51,-0.35,0.85
59,5.288,1139.0,574.9,-4.9,-14.6,1.495,2.518,-0.195,-0.039,0.010,1318.6,644.8,291.2,741.2,-6.5,5.4,2.52,-0.29,0.86
60,5.389,1137.3,571.9,-1.7,-3.0,1.444,2.443,-0.173,-0.051,-0.075,1306.7,644.3,270.8,744.0,-11.9,-0.5,2.44,-0.39,0.88
61,5.439,1142.3,620.7,5.0,48.8,1.416,2.340,-0.539,-0.028,-0.103,1295.2,644.9,273.8,738.5,-11.6,0.6,2.34,-0.38,0.88
62,5.490,1126.8,506.6,-15.5,-114.1,1.365,2.449,0.357,-0.051,0.109,1277.7,645.0,280.4,740.4,-17.5,0.1,2.45,-0.10,0.87
63,5.539,1129.1,528.6,2.3,22.0,1.387,2.463,0.190,0.023,0.014,1269.0,644.7,280.8,742.3,-8.7,-0.3,2.46,-0.29,0.87
64,5.589,1132.8,499.4,3.7,-29.1,1.414,2.473,0.417,0.027,0.010,1266.9,644.6,276.9,742.5,-2.0,-0.1,2.47,-0.20,0.87
65,5.637,1107.3,458.2,-25.4,-41.2,1.200,2.424,0.733,-0.214,-0.048,1266.9,644.6,276.9,742.5,0.0,0.0,2.42,-0.23,0.87
66,5.688,812.3,527.3,-295.0,69.1,-1.425,2.922,0.203,-2.625,0.498,1257.8,643.1,267.8,742.9,-9.1,-1.5,2.92,-0.59,0.81
67,5.746,801.3,427.7,-11.0,-99.6,-1.425,2.718,1.093,0.000,-0.204,1248.7,635.9,273.7,752.8,-9.1,-7.3,2.72,-0.59,0.83
68,5.788,1117.5,576.0,316.2,148.3,1.252,2.413,-0.232,2.677,-0.304,1239.0,636.3,279.4,755.4,-9.7,0.4,2.41,-0.42,0.85
69,5.841,1087.1,434.4,-30.5,-141.6,1.075,2.586,0.923,-0.177,0.173,1220.2,633.9,275.0,771.2,-18.8,-2.4,2.59,-0.42,0.85
70,5.890,1117.4,481.1,30.4,46.7,1.266,2.419,0.561,0.192,-0.167,1220.2,633.9,275.0,771.2,0.0,0.0,2.42,-0.26,0.85
71,5.939,1095.3,488.3,-22.1,7.2,1.024,2.310,0.392,-0.242,-0.109,1203.3,625.1,273.1,757.1,-16.9,-8.8,2.31,-0.29,0.86
72,5.991,1111.7,478.8,16.4,-9.5,1.191,2.347,0.559,0.166,0.038,1195.8,627.4,267.5,766.8,-7.6,2.3,2.35,-0.37,0.86
73,6.091,1081.9,664.2,-29.8,185.4,0.878,2.440,-0.884,-0.313,0.093,1179.4,621.9,269.9,777.7,-16.3,-5.5,2.44,-0.15,0.88
74,6.139,1044.6,633.2,-37.3,-31.1,0.621,2.268,-0.658,-0.257,-0.172,1175.9,620.8,270.9,775.8,-3.5,-1.2,2.27,-0.33,0.89
75,6.188,812.4,414.8,-232.2,-218.4,-1.158,2.376,1.068,-1.779,0.108,1173.1,621.7,275.5,776.9,-2.8,0.9,2.38,0.00,0.79
76,6.241,1021.0,612.5,208.6,197.8,0.481,2.538,-0.520,1.639,0.162,1146.8,624.5,317.3,778.1,-26.3,2.7,2.54,0.03,0.87
77,6.289,777.0,385.8,-244.0,-226.7,-1.336,2.207,1.211,-1.817,-0.331,1136.5,624.0,333.8,776.2,-10.3,-0.5,2.21,-0.59,0.83
78,6.342,83.7,684.3,-693.3,298.5,-3.818,1.306,-0.551,-2.481,-0.902,1126.1,625.4,344.6,774.1,-10.4,1.5,1.31,0.00,0.75
79,6.390,1002.8,561.7,919.2,-122.6,0.384,2.614,-0.079,4.202,1.308,1115.2,625.2,339.0,774.6,-10.9,-0.2,2.61,0.05,0.86
80,6.441,1008.2,572.8,5.3,11.2,0.435,2.757,-0.195,0.051,0.143,1109.5,625.7,331.1,779.8,-5.8,0.5,2.76,0.07,0.87
81,6.489,1109.5,478.2,101.4,-94.6,1.053,2.503,0.341,0.618,-0.254,1104.8,626.2,331.2,779.8,-4.7,0.4,2.50,0.28,0.86
82,6.539,1112.3,436.9,2.8,-41.3,1.120,2.507,0.731,0.067,0.004,1096.0,624.2,319.5,778.4,-8.8,-2.0,2.51,0.25,0.87
83,6.589,1080.5,463.5,-31.8,26.6,1.025,2.557,0.714,-0.095,0.051,1085.1,620.1,293.1,762.5,-11.0,-4.1,2.56,0.55,0.87
84,6.642,1050.1,478.7,-30.5,15.2,0.651,2.276,0.485,-0.374,-0.282,1079.4,617.4,282.7,759.4,-5.7,-2.6,2.28,0.34,0.88
85,6.690,1008.9,509.7,-41.1,30.9,0.403,2.473,0.296,-0.247,0.197,1072.1,622.2,279.1,767.6,-7.3,4.7,2.47,0.12,0.88
86,6.741,1009.2,467.1,0.3,-42.6,0.443,2.624,0.717,0.039,0.151,1047.0,624.9,270.8,769.3,-25.0,2.7,2.62,0.31,0.86
87,6.789,1065.0,464.6,55.7,-2.5,0.811,2.522,0.724,0.369,-0.102,1040.0,624.3,270.7,775.6,-7.0,-0.6,2.52,0.51,0.87
88,6.840,1030.8,535.4,-34.2,70.8,0.611,2.630,0.088,-0.200,0.108,1030.5,624.9,277.9,776.9,-9.5,0.6,2.63,0.29,0.87
89,6.892,1072.6,407.1,41.9,-128.3,0.910,2.517,1.143,0.298,-0.113,1024.1,627.3,277.8,783.0,-6.4,2.4,2.52,0.24,0.87
90,6.940,988.2,571.5,-84.4,164.4,0.237,2.681,-0.216,-0.673,0.165,1010.9,628.2,267.5,783.4,-13.2,0.8,2.68,0.20,0.88
91,6.988,973.5,586.9,-14.7,15.4,0.157,2.769,-0.318,-0.080,0.087,1000.7,626.0,258.8,778.1,-10.1,-2.2,2.77,0.21,0.89
92,7.037,956.8,586.9,-16.7,0.1,-0.014,2.691,-0.307,-0.170,-0.078,999.8,627.2,257.6,777.7,-1.0,1.3,2.69,0.23,0.89
93,7.087,937.4,608.2,-19.3,21.2,-0.196,2.727,-0.543,-0.182,0.037,996.9,624.6,255.2,773.3,-2.8,-2.6,2.73,0.24,0.89
94,7.136,978.6,487.8,41.2,-120.3,0.057,2.659,0.406,0.253,-0.068,995.2,625.4,253.0,771.6,-1.7,0.8,2.66,0.12,0.89
95,7.188,984.1,565.6,5.5,77.7,0.224,2.774,-0.175,0.166,0.115,993.7,625.6,252.6,768.7,-1.5,0.2,2.77,0.08,0.90
96,7.237,951.0,599.4,-33.2,33.8,-0.069,2.702,-0.441,-0.293,-0.072,993.5,626.4,251.9,769.3,-0.1,0.7,2.70,0.29,0.89
97,7.289,939.7,625.3,-11.3,25.9,-0.175,2.693,-0.676,-0.105,-0.009,993.7,626.6,252.3,766.8,0.2,0.2,2.69,-0.00,0.89
98,7.337,952.4,605.0,12.8,-20.2,-0.048,2.808,-0.495,0.126,0.115,994.1,628.1,252.0,767.6,0.4,1.5,2.81,0.20,0.89
99,7.386,979.2,512.4,26.8,-92.6,0.162,2.631,0.291,0.210,-0.177,994.9,627.1,252.8,763.6,0.8,-0.9,2.63,0.29,0.89
100,7.484,940.3,558.1,-39.0,45.7,-0.165,2.640,-0.079,-0.328,0.010,996.0,628.1,253.0,764.6,1.1,0.9,2.64,0.59,0.89
101,7.586,939.5,634.8,-0.8,76.8,-0.172,2.634,-0.754,-0.006,-0.006,996.8,628.3,254.4,762.5,0.9,0.2,2.63,0.59,0.89
102,15.435,959.2,545.1,19.7,-89.7,0.000,2.748,0.034,0.172,0.113,999.0,629.8,254.4,761.7,2.2,1.5,2.75,-0.59,0.89
103,15.487,940.2,561.6,-19.0,16.5,-0.172,2.699,-0.120,-0.172,-0.049,998.8,629.2,253.7,759.8,-0.2,-0.5,2.70,-0.59,0.89
104,15.536,947.8,576.9,7.6,15.3,-0.103,2.667,-0.238,0.069,-0.032,998.7,629.2,253.6,761.5,-0.1,0.0,2.67,-0.12,0.89
105,15.586,1010.7,512.1,62.9,-64.8,0.515,3.061,0.361,0.618,0.394,998.9,630.8,254.8,763.8,0.2,1.6,3.06,-0.59,0.89
106,15.637,949.6,610.1,-61.1,97.9,-0.089,2.791,-0.570,-0.604,-0.270,998.2,629.8,254.9,760.9,-0.7,-1.1,2.79,-0.59,0.89
107,15.786,949.5,597.3,-0.1,-12.8,-0.083,2.708,-0.429,0.006,-0.083,996.9,629.1,258.9,761.7,-1.3,-0.6,2.71,0.59,0.87
108,15.836,1017.6,495.1,68.1,-102.2,0.573,2.954,0.520,0.655,0.247,996.4,628.6,257.9,760.6,-0.5,-0.5,2.95,0.59,0.87
109,15.885,959.2,602.8,-58.5,107.7,0.000,2.705,-0.481,-0.573,-0.250,995.4,628.4,260.5,760.6,-1.0,-0.2,2.70,0.59,0.87
110,15.943,945.0,580.6,-14.2,-22.2,-0.130,2.728,-0.283,-0.130,0.023,996.8,629.3,259.4,762.5,1.4,0.9,2.73,0.59,0.87
111,16.485,959.1,568.0,14.2,-12.6,0.000,2.642,-0.166,0.130,-0.086,996.3,629.0,260.7,761.1,-0.5,-0.3,2.64,-0.59,0.87
112,16.536,952.0,591.6,-7.1,23.7,-0.064,2.713,-0.382,-0.064,0.071,370.2,787.7,734.4,567.2,-626.1,158.7,2.71,0.00,0.86
113,16.590,959.2,598.8,7.1,7.2,0.000,2.728,-0.441,0.064,0.015,998.0,628.6,257.9,760.6,627.8,-159.2,2.73,-0.20,0.87
114,16.785,959.2,529.4,0.0,-69.4,0.000,2.845,0.179,0.000,0.117,1001.0,629.2,252.3,761.5,3.0,0.6,2.84,0.59,0.89
115,16.887,946.4,509.5,-12.8,-19.9,-0.110,2.685,0.352,-0.110,-0.159,1002.2,629.4,250.6,762.3,1.2,0.2,2.69,0.59,0.89
116,18.939,959.2,574.0,12.7,64.5,0.000,2.729,-0.236,0.110,0.044,1002.2,629.1,254.9,761.3,0.0,-0.3,2.73,-0.59,0.89
117,18.987,949.7,549.7,-9.4,-24.2,-0.086,2.740,-0.013,-0.086,0.011,1002.0,629.8,255.1,761.7,-0.3,0.6,2.74,0.00,0.89
118,19.285,959.2,563.4,9.5,13.7,0.000,2.847,-0.142,0.086,0.107,1001.1,628.0,254.0,758.5,-0.8,-1.8,2.85,0.59,0.89
119,19.386,949.5,597.7,-9.7,34.3,-0.087,2.699,-0.431,-0.087,-0.148,1000.2,630.4,256.8,762.5,-0.9,2.4,2.70,0.00,0.88
120,19.435,935.3,598.3,-14.3,0.6,-0.216,2.703,-0.441,-0.129,0.005,999.5,629.4,259.5,761.5,-0.7,-0.9,2.70,0.59,0.87
121,19.585,1027.6,501.9,92.3,-96.4,0.668,2.946,0.452,0.884,0.243,997.9,630.0,258.9,763.0,-1.6,0.5,2.95,0.59,0.88
